Pseudoword,Matched Shape,Percentage,Boubaness,Kikiness,Source Title,Author(s),Year,Phonemes
guga,round,0.91,0.91,0.09,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['g', 'UW', 'g', 'AH']"
buba,round,0.82,0.82,0.18,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['b', 'UW', 'b', 'AH']"
pupa,round,0.8,0.8,0.1999999999999999,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['p', 'UW', 'p', 'AH']"
bibe,round,0.76,0.76,0.24,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['b', 'IY', 'b', 'EH']"
kike,spiky,0.85,0.15,0.85,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['k', 'IY', 'k', 'EH']"
tite,spiky,0.93,0.07,0.93,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['t', 'IY', 't', 'EH']"
bouba,round,0.73,0.73,0.27,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['b', 'AW', 'b', 'AH']"
kiki,spiky,0.73,0.27,0.73,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['k', 'IY', 'k', 'IY']"
keti,spiky,0.324,0.6759999999999999,0.324,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['k', 'EH', 't', 'IY']"
toku,spiky,0.417,0.583,0.417,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['t', 'OW', 'k', 'UW']"
lije,round,0.75,0.75,0.25,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['l', 'IY', 'j', 'EH']"
mujo,round,0.6579999999999999,0.6579999999999999,0.3420000000000001,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['m', 'UW', 'j', 'OW']"
limo,round,0.75,0.75,0.25,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['l', 'IY', 'm', 'OW']"
lejo,round,0.75,0.75,0.25,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['l', 'EH', 'j', 'OW']"
mije,round,0.75,0.75,0.25,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['m', 'IY', 'j', 'EH']"
mejo,round,0.75,0.75,0.25,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['m', 'EH', 'j', 'OW']"
lelu,round,0.75,0.75,0.25,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['l', 'EH', 'l', 'UW']"
mojo,round,0.6579999999999999,0.6579999999999999,0.3420000000000001,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['m', 'OW', 'j', 'OW']"
lujo,round,0.6579999999999999,0.6579999999999999,0.3420000000000001,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['l', 'UW', 'j', 'OW']"
lumo,round,0.6579999999999999,0.6579999999999999,0.3420000000000001,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['l', 'UW', 'm', 'OW']"
tike,spiky,0.324,0.6759999999999999,0.324,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['t', 'IY', 'k', 'EH']"
peki,spiky,0.324,0.6759999999999999,0.324,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['p', 'EH', 'k', 'IY']"
koti,spiky,0.324,0.6759999999999999,0.324,Phonetic Detail and Dimensionality,"D’Onofrio, A.",2014,"['k', 'OW', 't', 'IY']"
